PosX	PosY	PosZ		ForceX	ForceY	ForceZ		ThetaX	ThetaY	ThetaZ		TorqueX	TorqueY	TorqueZ		EstTorqueX	EstTorqueY	EstTorqueZ		ResidTorqueX	ResidTorqueY	ResidTorqueZ
3.5	0.1	0		0	0	100		0.25	-6	-0.25		10	-350	0		3.41	-292.05	0		6.59	-57.95	0
3.5	0.1	0		0	0	120		0.25	-7.88	-0.56		12	-420	0		5.63	-386.34	0		6.37	-33.66	0
3.5	0.1	0		0	0	120		0.31	-7.81	-0.31		12	-420	0		5.2	-380.25	0		6.8	-39.75	0
3.5	0.1	0		0	0	120		0.25	-6.94	-0.25		12	-420	0		6.21	-337.6	0		5.79	-82.4	0
3.5	0.1	0		0	0	140		0.19	-9	-0.69		14	-490	0		10.58	-442.78	0		3.42	-47.22	0
3.5	0.1	0		0	0	140		0.25	-9.31	-0.56		14	-490	0		9.92	-456.18	0		4.08	-33.82	0
3.5	0.1	0		0	0	140		0.19	-8.94	-0.31		14	-490	0		14.44	-435.92	0		-0.44	-54.08	0
3.5	0.1	0		0	0	160		0.25	-10.25	-0.31		16	-560	0		15.41	-499.18	0		0.59	-60.82	0
3.5	0.1	0		0	0	160		0.38	-11.25	-0.44		16	-560	0		11.16	-548.03	0		4.84	-11.97	0
3.5	0.1	0		0	0	160		0.38	-10.31	-0.38		16	-560	0		9.04	-501.85	0		6.96	-58.15	0
3.5	0.1	0		0	0	180		0.5	-11.62	-0.5		18	-630	0		5.71	-565.88	0		12.29	-64.12	0
3.5	0.1	0		0	0	180		0.38	-12.75	-0.19		18	-630	0		18.33	-618.36	0		-0.33	-11.64	0
3.5	0.1	0		0	0	180		0.38	-12.44	-0.38		18	-630	0		15.37	-605.09	0		2.63	-24.91	0
3.5	0.1	0		0	0	200		0.44	-13.81	-0.56		20	-700	0		14.5	-673.31	0		5.5	-26.69	0
3.5	0.1	0		0	0	200		0.44	-14.19	-0.56		20	-700	0		15.62	-691.53	0		4.38	-8.47	0
3.5	0.1	0		0	0	200		0.5	-14.25	-0.56		20	-700	0		12.86	-694.06	0		7.14	-5.94	0
3.5	0.1	0		0	0	220		0.31	-15.56	-0.56		22	-770	0		25.61	-759.34	0		-3.61	-10.66	0
3.5	0.1	0		0	0	220		0.5	-15.12	-0.88		22	-770	0		12.1	-739.76	0		9.9	-30.24	0
